name	type	units	sampling_frequency	status
EEG001	EEG	V	256	good
EEG002	EEG	V	256	good
EEG003	EEG	V	256	good
EEG004	EEG	V	256	good
EEG005	EEG	V	256	good
EEG006	EEG	V	256	good
EEG007	EEG	V	256	good
EEG008	EEG	V	256	good
EEG009	EEG	V	256	good
EEG010	EEG	V	256	good
EEG011	EEG	V	256	good
EEG012	EEG	V	256	good
EEG013	EEG	V	256	good
EEG014	EEG	V	256	good
EEG015	EEG	V	256	good
EEG016	EEG	V	256	good
EEG017	EEG	V	256	good
EEG018	EEG	V	256	good
EEG019	EEG	V	256	good
EEG020	EEG	V	256	good
EEG021	EEG	V	256	good
EEG022	EEG	V	256	good
EEG023	EEG	V	256	good
EEG024	EEG	V	256	good
EEG025	EEG	V	256	good
EEG026	EEG	V	256	good
EEG027	EEG	V	256	good
EEG028	EEG	V	256	good
EEG029	EEG	V	256	good
EEG030	EEG	V	256	good
EEG031	EEG	V	256	good
EEG032	EEG	V	256	good
EEG033	EEG	V	256	good
EEG034	EEG	V	256	good
EEG035	EEG	V	256	good
EEG036	EEG	V	256	good
EEG037	EEG	V	256	good
EEG038	EEG	V	256	good
EEG039	EEG	V	256	good
EEG040	EEG	V	256	good
EEG041	EEG	V	256	good
EEG042	EEG	V	256	good
EEG043	EEG	V	256	good
EEG044	EEG	V	256	good
EEG045	EEG	V	256	good
EEG046	EEG	V	256	good
EEG047	EEG	V	256	good
EEG048	EEG	V	256	good
EEG049	EEG	V	256	good
EEG050	EEG	V	256	good
EEG051	EEG	V	256	good
EEG052	EEG	V	256	good
EEG053	EEG	V	256	good
EEG054	EEG	V	256	good
EEG055	EEG	V	256	good
EEG056	EEG	V	256	good
EEG057	EEG	V	256	good
EEG058	EEG	V	256	good
EEG059	EEG	V	256	good
EEG060	EEG	V	256	good
EEG061	EEG	V	256	good
EEG062	EEG	V	256	good
EEG063	EEG	V	256	good
EEG064	EEG	V	256	good
EEG065	EEG	V	256	good
EEG066	EEG	V	256	good
EEG067	EEG	V	256	good
EEG068	EEG	V	256	good
EEG069	EEG	V	256	good
EEG070	EEG	V	256	good
EEG071	EEG	V	256	good
EEG072	EEG	V	256	good
EEG073	EEG	V	256	good
EEG074	EEG	V	256	good
EEG075	EEG	V	256	good
EEG076	EEG	V	256	good
EEG077	EEG	V	256	good
EEG078	EEG	V	256	good
EEG079	EEG	V	256	good
EEG080	EEG	V	256	good
EEG081	EEG	V	256	good
EEG082	EEG	V	256	good
EEG083	EEG	V	256	good
EEG084	EEG	V	256	good
EEG085	EEG	V	256	good
EEG086	EEG	V	256	good
EEG087	EEG	V	256	good
EEG088	EEG	V	256	good
EEG089	EEG	V	256	good
EEG090	EEG	V	256	good
EEG091	EEG	V	256	good
EEG092	EEG	V	256	good
EEG093	EEG	V	256	good
EEG094	EEG	V	256	good
EEG095	EEG	V	256	good
EEG096	EEG	V	256	good
EEG097	EEG	V	256	good
EEG098	EEG	V	256	good
EEG099	EEG	V	256	good
EEG100	EEG	V	256	good
EEG101	EEG	V	256	good
EEG102	EEG	V	256	good
EEG103	EEG	V	256	good
EEG104	EEG	V	256	good
EEG105	EEG	V	256	good
EEG106	EEG	V	256	good
EEG107	EEG	V	256	good
EEG108	EEG	V	256	good
EEG109	EEG	V	256	good
EEG110	EEG	V	256	good
EEG111	EEG	V	256	good
EEG112	EEG	V	256	good
EEG113	EEG	V	256	good
EEG114	EEG	V	256	good
EEG115	EEG	V	256	good
EEG116	EEG	V	256	good
EEG117	EEG	V	256	good
EEG118	EEG	V	256	good
EEG119	EEG	V	256	good
EEG120	EEG	V	256	good
EEG121	EEG	V	256	good
EEG122	EEG	V	256	good
EEG123	EEG	V	256	good
EEG124	EEG	V	256	good
EEG125	EEG	V	256	good
EEG126	EEG	V	256	good
EEG127	EEG	V	256	good
EEG128	EEG	V	256	good
DISPLAY+	MISC	V	256	good
DISPLAY-	MISC	V	256	good
MIC+	MISC	V	256	good
MIC-	MISC	V	256	good
EOG+	EOG	V	256	good
EOG-	EOG	V	256	good
EMG_UPPER_OOris+	EMG	V	256	good
EMG_UPPER_OOris-	EMG	V	256	good
EMG_LOWER_OOris+	EMG	V	256	good
EMG_LOWER_OOris-	EMG	V	256	good
TRIGGER	TRIG	n/a	256	good
